|cate|category
|note;from_CY_number|note

LS01a|body_casting|gap_between_door_and_fender;year_on_base;front_bumper;infill_above_gas_tank
LS01a|cab_base|cab_base;grille
LS01a|wheels_hubs|front_wheels;rear_wheels
LS01c|base|base;bumpers_grille
LS01c|wheels|front_wheels;rear_wheels
LS01d|front_rear_wheels|front_wheels;rear_wheels
LS01d|base|base;bumpers_grille
MI001|base|base;bumpers_grille
MI001|wheels|front_wheels;rear_wheels
LS02a|labels|labels_tampo
MI1702|tampo|labels_tampo
MI1702|wheels|wheels_hubs+ silver
MI1702|base|base;body
LS02b|base|base;bumpers
MI002|labels_tampo|wing_tampo
LS03a|base|base;bumpers_grille
LS03a|wheels_hubs|wheels
LS03c|wheels|front_wheels;rear_wheels
MI003|wheels|front_wheels;rear_wheels
LS04a|base|base;front_axle_cover
LS04a|wheels|front_wheels;rear_wheels
LS04a|base|base;grille
LS04a|interior|
LS04c|base|base;bumpers
MI004|front_rear_wheels|front_wheels;rear_wheels
EA05a|tow_box|tow_slot
EA05a|tampo|labels_tampo
EA05a|wheels|front_wheels;rear_wheels
LS05a|wheels|front_wheels;rear_wheels
LS05a|base|base;bumpers
LS05a|pin_hole_under_roof|pin_under_roof;hole_under_roof
LS05b|boat_label|boat_label_tampo
MI1705|boat_tampo|boat_label_tampo
LS05c|wheels|front_wheels;rear_wheels
LS05d|interior_bumper|interior;bumper
MI005|interior_bumper|interior;bumper
MI005|body|body;shovel_cast
EA06b|hood_tampo;side_tampo|labels_tampo
EA06b|wheels|front_wheels;rear_wheels
LS06b|wheels|front_wheels;rear_wheels
MI006|tampo|labels_tampo
MI006|windshield|windows
MI006|wheels|front_wheels;rear_wheels
EA07c|hood_tampo;side_tampo|labels_tampo
MI007|tampo|labels_tampo
LS08a|wheels|front_wheels;rear_wheels
LS08b|front_rear_wheels|front_wheels;rear_wheels
MI008|roof_lights|roof_fixture+ lights
#MI008|siren|beacon
LS09a|boat_label|boat_label_tampo
LS09a|boat_deck|deck
LS09a|boat_hull|hull
LS09b|wheels|front_wheels;rear_wheels
MI1709|boat_tampo|boat_label_tampo
MI1709|axle_covers|axle_cover
MI1709|boat_deck|deck
MI1709|boat_hull|hull
MI1709|boat_interior|interior
LS11c|wheels|front_wheels;rear_wheels
MI011|wheels|front_wheels;rear_wheels
LS12b|body|base
LS12c|base|base;blade
LS12e|wheels|front_wheels;rear_wheels
LS13a|wheels|front_wheels;rear_wheels
LS13a|body_boom|body;boom
LS13b|wheels|front_wheels;rear_wheels
LS13c|wheels|front_wheels;rear_wheels
LS13c|windows_roof_lights|windows;roof_lights
LS13c|base|base;bumpers
MI013|wheels|front_wheels;rear_wheels
LS14a|pin_hole_under_roof|pin_under_roof;hole_under_roof
MI014|tampo|labels_tampo
MI014|base_var|cab_base_number
LS15b|body_casting|body;interior
LS16a|base_type|axle_cover_text
EA16b|hood_tampo;side_tampo|label_tampo
MI016|tampo|label_tampo
